"Name","activation_function","batch_size","epochs","learning_rate","num_neurons","optimizer","Train_cost","Train_mse","Train_r2","Train_rmse","Validation_cost","Validation_mse","Validation_r2","Validation_rmse","mse","r2","rmse"
"run-66","relu","256","100","0.1","[32,64]","sgd","0.005103945805405139","0.005103945805405139","0.881404000748569","0.07144190510761271","0.010032149844085122","0.010032149844085122","0.7024191096162542","0.10016062022614038","0.010032149844085122","0.7024191096162542","0.10016062022614038"
"run-12","relu","16","10","0.1","[32,64]","sgd","0.0068820958684442015","0.0068820958684442015","0.8400866569551089","0.08295839842019735","0.01014152442601925","0.01014152442601925","0.6991747615968217","0.10070513604588026","0.01014152442601925","0.6991747615968217","0.10070513604588026"
"run-69","relu","256","100","0.1","[32,64,32]","sgd","0.005767454778557537","0.005767454778557537","0.8659866133617424","0.07594376062954439","0.011687263316960048","0.011687263316960048","0.653323935740373","0.10810764689401044","0.011687263316960048","0.653323935740373","0.10810764689401044"
"run-33","relu","16","100","0.1","[32,64,32]","sgd","0.006768440340300849","0.006768440340300849","0.842727572718034","0.08227053142104315","0.011780245476368169","0.011780245476368169","0.6505658316234586","0.1085368392591574","0.011780245476368169","0.6505658316234586","0.1085368392591574"
"run-18","relu","16","100","0.01","[32]","sgd","0.008428936578643258","0.008428936578643258","0.8041440496659453","0.09180924015938297","0.012554705904720465","0.012554705904720465","0.6275932258093685","0.11204778402414065","0.012554705904720465","0.6275932258093685","0.11204778402414065"
"run-45","relu","256","10","0.1","[32]","sgd","0.01210134457504485","0.01210134457504485","0.7188114633498919","0.11000611153497268","0.0126038633649612","0.0126038633649612","0.6261350816413898","0.1122669290795878","0.0126038633649612","0.6261350816413898","0.1122669290795878"
"run-15","relu","16","10","0.1","[32,64,32]","sgd","0.006271966235493197","0.006271966235493197","0.8542637145202783","0.07919574632196603","0.013067102048596362","0.013067102048596362","0.6123941604949994","0.11431142571325212","0.013067102048596362","0.6123941604949994","0.11431142571325212"
"run-24","relu","16","100","0.01","[32,64,32]","sgd","0.008186188320892816","0.008186188320892816","0.8097845821661083","0.09047755700113048","0.0135142610889529","0.0135142610889529","0.5991302053666883","0.11625085414289608","0.0135142610889529","0.5991302053666883","0.11625085414289608"
"run-198","tanh","256","100","0.01","[32]","sgd","0.011203927144657424","0.011203927144657424","0.7396639803945945","0.1058486048309444","0.013584102739509355","0.013584102739509355","0.5970585117734435","0.11655085902518848","0.013584102739509355","0.5970585117734435","0.11655085902518848"
"run-51","relu","256","10","0.1","[32,64,32]","sgd","0.007876582058654802","0.007876582058654802","0.8169786366182015","0.08875011018953612","0.0135937449671162","0.0135937449671162","0.5967724970387036","0.11659221658033696","0.0135937449671162","0.5967724970387036","0.11659221658033696"
"run-54","relu","256","100","0.01","[32]","sgd","0.00932574714915677","0.00932574714915677","0.7833056337022293","0.0965699080933433","0.013791137124357656","0.013791137124357656","0.5909173079895376","0.11743567228213772","0.013791137124357656","0.5909173079895376","0.11743567228213772"
"run-213","tanh","256","100","0.1","[32,64,32]","sgd","0.010461282102138278","0.010461282102138278","0.756920184567728","0.10228040918053798","0.01396910922508002","0.01396910922508002","0.5856381707139262","0.11819098622602328","0.01396910922508002","0.5856381707139262","0.11819098622602328"
"run-30","relu","16","100","0.1","[32,64]","sgd","0.007410350593242543","0.007410350593242543","0.8278120562176945","0.08608339324888711","0.014144230239683331","0.014144230239683331","0.5804436044185192","0.11892951794942806","0.014144230239683331","0.5804436044185192","0.11892951794942806"
"run-165","tanh","16","100","0.01","[32,64]","sgd","0.011928045209617329","0.011928045209617329","0.7228382716656758","0.1092155905061971","0.014194891915830664","0.014194891915830664","0.5789408411095018","0.11914231790522906","0.014194891915830664","0.5789408411095018","0.11914231790522906"
"run-57","relu","256","100","0.01","[32,64]","sgd","0.01023206947214006","0.01023206947214006","0.7622462013265461","0.10115369233073038","0.014243428367743468","0.014243428367743468","0.5775011177400591","0.11934583515038748","0.014243428367743468","0.5775011177400591","0.11934583515038748"
"run-9","relu","16","10","0.1","[32]","sgd","0.007485908148474419","0.007485908148474419","0.8260563902867926","0.08652114278298928","0.014343973816854426","0.014343973816854426","0.5745186658493396","0.11976633006339649","0.014343973816854426","0.5745186658493396","0.11976633006339649"
"run-183","tanh","256","10","0.01","[32,64]","sgd","0.012251272599884209","0.012251272599884209","0.7153277147758403","0.11068546697685389","0.014396860911136384","0.014396860911136384","0.572949890576758","0.11998691975018104","0.014396860911136384","0.572949890576758","0.11998691975018104"
"run-171","tanh","16","100","0.1","[32]","sgd","0.013118642071856732","0.013118642071856732","0.6951733962993724","0.11453664073935786","0.014427726862783223","0.014427726862783223","0.5720343223768847","0.12011547303650444","0.014427726862783223","0.5720343223768847","0.12011547303650444"
"run-63","relu","256","100","0.1","[32]","sgd","0.01550790165200486","0.01550790165200486","0.6396562262152692","0.12453072573467504","0.014458561401002911","0.014458561401002911","0.571119685984826","0.12024375826213564","0.014458561401002911","0.571119685984826","0.12024375826213564"
"run-159","tanh","16","10","0.1","[32,64,32]","sgd","0.011550058481195944","0.011550058481195944","0.7316212242027973","0.10747119837982612","0.01453734457536955","0.01453734457536955","0.5687827624400581","0.12057091098341072","0.01453734457536955","0.5687827624400581","0.12057091098341072"
"run-180","tanh","256","10","0.01","[32]","sgd","0.01198454965721332","0.01198454965721332","0.7215253264111045","0.1094739679431294","0.0146786614975696","0.0146786614975696","0.564590917602396","0.121155526071119","0.0146786614975696","0.564590917602396","0.121155526071119"
"run-48","relu","256","10","0.1","[32,64]","sgd","0.00903824613187196","0.00903824613187196","0.7899860475880089","0.09506969092130237","0.01473484879626284","0.01473484879626284","0.5629242492777347","0.12138718546973086","0.01473484879626284","0.5629242492777347","0.12138718546973086"
"run-204","tanh","256","100","0.01","[32,64,32]","sgd","0.010519672330993612","0.010519672330993612","0.7555634210358181","0.10256545388674304","0.01483406776174376","0.01483406776174376","0.5599811445046163","0.12179518776102674","0.01483406776174376","0.5599811445046163","0.12179518776102674"
"run-177","tanh","16","100","0.1","[32,64,32]","sgd","0.01088026030753741","0.01088026030753741","0.747184748333029","0.10430848626807604","0.014858346865226076","0.014858346865226076","0.5592609601628477","0.12189481886128745","0.014858346865226076","0.5592609601628477","0.12189481886128745"
"run-21","relu","16","100","0.01","[32,64]","sgd","0.009632876439844512","0.009632876439844512","0.776169134507837","0.09814721819717824","0.01490577315337452","0.01490577315337452","0.5578541672745685","0.1220892016247732","0.01490577315337452","0.5578541672745685","0.1220892016247732"
"run-144","tanh","16","10","0.01","[32]","sgd","0.01226210367999364","0.01226210367999364","0.7150760422821414","0.11073438345876876","0.014989167486371803","0.014989167486371803","0.5553804642047402","0.12243025560036948","0.014989167486371803","0.5553804642047402","0.12243025560036948"
"run-156","tanh","16","10","0.1","[32,64]","sgd","0.012518517507970702","0.012518517507970702","0.7091179746791076","0.11188618104113976","0.014994768958737664","0.014994768958737664","0.5552143092768336","0.12245312964043696","0.014994768958737664","0.5552143092768336","0.12245312964043696"
"run-162","tanh","16","100","0.01","[32]","sgd","0.011518198155092007","0.011518198155092007","0.7323615352003732","0.10732286874237013","0.014999960409992076","0.014999960409992076","0.5550603166919259","0.12247432551352172","0.014999960409992076","0.5550603166919259","0.12247432551352172"
"run-36","relu","256","10","0.01","[32]","sgd","0.012636170210459536","0.012636170210459536","0.7063841800135142","0.11241072106547284","0.015204502346027438","0.015204502346027438","0.5489930457288525","0.12330653813171236","0.015204502346027438","0.5489930457288525","0.12330653813171236"
"run-147","tanh","16","10","0.01","[32,64]","sgd","0.012346503490757926","0.012346503490757926","0.713114916463834","0.11111482120202472","0.015219148300540225","0.015219148300540225","0.5485586068247124","0.12336591223081124","0.015219148300540225","0.5485586068247124","0.12336591223081124"
"run-149","tanh","16","10","0.01","[32,64]","minibatch-gd","0.01571758299565399","0.01571758299565399","0.6347840411603034","0.12536978501877552","0.015222919503474954","0.015222919503474954","0.5484467426735009","0.12338119590713552","0.015222919503474954","0.5484467426735009","0.12338119590713552"
"run-168","tanh","16","100","0.01","[32,64,32]","sgd","0.011111347205446287","0.011111347205446287","0.7418151808226542","0.10541037522675976","0.015473654447405146","0.015473654447405146","0.5410092612737333","0.1243931446961815","0.015473654447405146","0.5410092612737333","0.1243931446961815"
"run-158","tanh","16","10","0.1","[32,64]","minibatch-gd","0.012134386373151815","0.012134386373151815","0.7180436995034558","0.110156190807198","0.015499603457649218","0.015499603457649218","0.5402395429488459","0.12449740341729708","0.015499603457649218","0.5402395429488459","0.12449740341729708"
"run-195","tanh","256","10","0.1","[32,64,32]","sgd","0.011201228537261266","0.011201228537261266","0.7397266856138378","0.10583585657640451","0.015543304578293778","0.015543304578293778","0.538943248675506","0.12467279004776374","0.015543304578293778","0.538943248675506","0.12467279004776374"
"run-201","tanh","256","100","0.01","[32,64]","sgd","0.011460342605595078","0.011460342605595078","0.7337058748478598","0.10705298970881232","0.015582417751415318","0.015582417751415318","0.5377830454225507","0.12482955479939564","0.015582417751415318","0.5377830454225507","0.12482955479939564"
"run-34","relu","16","100","0.1","[32,64,32]","batch-gd","0.014478012562540587","0.014478012562540587","0.6635868732753953","0.12032461328647846","0.01562899121390478","0.01562899121390478","0.5364015496662808","0.12501596383624286","0.01562899121390478","0.5364015496662808","0.12501596383624286"
"run-164","tanh","16","100","0.01","[32]","minibatch-gd","0.012878667357660422","0.012878667357660422","0.7007494823532345","0.1134842163371648","0.01616767499999825","0.01616767499999825","0.5204227212803099","0.12715217261218248","0.01616767499999825","0.5204227212803099","0.12715217261218248"
"run-6","relu","16","10","0.01","[32,64,32]","sgd","0.010564634960090288","0.010564634960090288","0.7545186630916713","0.1027844101023608","0.0164268330815847","0.0164268330815847","0.5127353866743471","0.12816720751262664","0.0164268330815847","0.5127353866743471","0.12816720751262664"
"run-153","tanh","16","10","0.1","[32]","sgd","0.01266784460041886","0.01266784460041886","0.7056481894542243","0.11255151976059168","0.016725815714442933","0.016725815714442933","0.5038667474018099","0.1293283252595615","0.016725815714442933","0.5038667474018099","0.1293283252595615"
"run-176","tanh","16","100","0.1","[32,64]","minibatch-gd","0.012043857618283542","0.012043857618283542","0.7201472383249732","0.10974451065216675","0.01674164204882502","0.01674164204882502","0.5033972952155761","0.12938949744405465","0.01674164204882502","0.5033972952155761","0.12938949744405465"
"run-150","tanh","16","10","0.01","[32,64,32]","sgd","0.012563879803382269","0.012563879803382269","0.7080639300325177","0.11208871398754768","0.0170002425259958","0.0170002425259958","0.49572650067540935","0.13038497814547426","0.0170002425259958","0.49572650067540935","0.13038497814547426"
"run-212","tanh","256","100","0.1","[32,64]","minibatch-gd","0.014307001077852445","0.014307001077852445","0.6675605200740318","0.11961187682605956","0.017023139308990812","0.017023139308990812","0.4950473197245192","0.1304727531287311","0.017023139308990812","0.4950473197245192","0.1304727531287311"
"run-35","relu","16","100","0.1","[32,64,32]","minibatch-gd","0.015223605778704824","0.015223605778704824","0.6462621649267206","0.1233839769933877","0.017113768164141282","0.017113768164141282","0.49235902102191986","0.1308196016051925","0.017113768164141282","0.49235902102191986","0.1308196016051925"
"run-39","relu","256","10","0.01","[32,64]","sgd","0.012617748006361562","0.012617748006361562","0.7068122409269156","0.11232874968752016","0.01746897318052729","0.01746897318052729","0.4818226727129637","0.1321702431734439","0.01746897318052729","0.4818226727129637","0.1321702431734439"
"run-179","tanh","16","100","0.1","[32,64,32]","minibatch-gd","0.013723695676617765","0.013723695676617765","0.6811142860358341","0.1171481782897957","0.01766368946145482","0.01766368946145482","0.4760468574439375","0.1329048135375646","0.01766368946145482","0.4760468574439375","0.1329048135375646"
"run-81","sigmoid","16","10","0.1","[32]","sgd","0.012808248761128136","0.012808248761128136","0.7023857387203742","0.11317353383688317","0.017733980242819074","0.017733980242819074","0.4739618414075714","0.1331689912960937","0.017733980242819074","0.4739618414075714","0.1331689912960937"
"run-192","tanh","256","10","0.1","[32,64]","sgd","0.013237767445088594","0.013237767445088594","0.6924053824502303","0.11505549723976076","0.017977206813794857","0.017977206813794857","0.466747078801266","0.13407910655204583","0.017977206813794857","0.466747078801266","0.13407910655204583"
"run-23","relu","16","100","0.01","[32,64]","minibatch-gd","0.01208311516836306","0.01208311516836306","0.7192350443955406","0.1099232239718389","0.018046846276495457","0.018046846276495457","0.46468138265055414","0.13433855096916691","0.018046846276495457","0.46468138265055414","0.13433855096916691"
"run-155","tanh","16","10","0.1","[32]","minibatch-gd","0.013275497890108352","0.013275497890108352","0.6915286725477504","0.11521934685680332","0.018097305049334374","0.018097305049334374","0.4631846380063413","0.13452622439262307","0.018097305049334374","0.4631846380063413","0.13452622439262307"
"run-65","relu","256","100","0.1","[32]","minibatch-gd","0.012360631053482238","0.012360631053482238","0.712786646438611","0.1111783749363258","0.018101752086914415","0.018101752086914415","0.4630527267586819","0.13454275189289988","0.018101752086914415","0.4630527267586819","0.13454275189289988"
"run-178","tanh","16","100","0.1","[32,64,32]","batch-gd","0.013701303695537265","0.013701303695537265","0.6816345892429427","0.117052568086041","0.01842696864858904","0.01842696864858904","0.4534059177003288","0.13574597102157043","0.01842696864858904","0.4534059177003288","0.13574597102157043"
"run-60","relu","256","100","0.01","[32,64,32]","sgd","0.01271588808565592","0.01271588808565592","0.704531844305501","0.1127647466438688","0.01872831542857581","0.01872831542857581","0.4444671513843923","0.1368514356102113","0.01872831542857581","0.4444671513843923","0.1368514356102113"
"run-173","tanh","16","100","0.1","[32]","minibatch-gd","0.01463272976654672","0.01463272976654672","0.6599918426637728","0.12096582065421092","0.018812667356636295","0.018812667356636295","0.4419650434366501","0.13715927732616665","0.018812667356636295","0.4419650434366501","0.13715927732616665"
"run-175","tanh","16","100","0.1","[32,64]","batch-gd","0.01247551269864103","0.01247551269864103","0.7101172404490672","0.11169383464919194","0.018843073795310257","0.018843073795310257","0.44106310564319384","0.137270076110237","0.018843073795310257","0.44106310564319384","0.137270076110237"
"run-3","relu","16","10","0.01","[32,64]","sgd","0.012753580298857953","0.012753580298857953","0.70365602276289","0.11293175062336525","0.01891226998457938","0.01891226998457938","0.4390105581898672","0.1375218891107135","0.01891226998457938","0.4390105581898672","0.1375218891107135"
"run-214","tanh","256","100","0.1","[32,64,32]","batch-gd","0.015449243213989996","0.015449243213989996","0.6410192218927574","0.124294984669495","0.018925393087767143","0.018925393087767143","0.43862129120403626","0.13756959361634802","0.018925393087767143","0.43862129120403626","0.13756959361634802"
"run-59","relu","256","100","0.01","[32,64]","minibatch-gd","0.018097055602397268","0.018097055602397268","0.5794942825603436","0.13452529725816356","0.019087464917158112","0.019087464917158112","0.4338137992859682","0.13815739182960177","0.019087464917158112","0.4338137992859682","0.13815739182960177"
"run-68","relu","256","100","0.1","[32,64]","minibatch-gd","0.014737930214186684","0.014737930214186684","0.657547390335077","0.1213998773236064","0.01911920435018815","0.01911920435018815","0.4328723212490424","0.13827221105554127","0.01911920435018815","0.4328723212490424","0.13827221105554127"
"run-211","tanh","256","100","0.1","[32,64]","batch-gd","0.01535351964713036","0.01535351964713036","0.6432434680929437","0.12390932025933464","0.019455153051900327","0.019455153051900327","0.42290716768450354","0.13948173017245064","0.019455153051900327","0.42290716768450354","0.13948173017245064"
"run-99","sigmoid","16","100","0.1","[32]","sgd","0.01579812424634275","0.01579812424634275","0.6329125733840824","0.12569058933087532","0.01961809532141266","0.01961809532141266","0.41807385614149306","0.14006461123857325","0.01961809532141266","0.41807385614149306","0.14006461123857325"
"run-215","tanh","256","100","0.1","[32,64,32]","minibatch-gd","0.014933858534680391","0.014933858534680391","0.6529947724514783","0.12220416741944766","0.019709042102236413","0.019709042102236413","0.4153761268974442","0.14038889593638243","0.019709042102236413","0.4153761268974442","0.14038889593638243"
"run-209","tanh","256","100","0.1","[32]","minibatch-gd","0.013681635261224132","0.013681635261224132","0.682091607736087","0.1169685225230452","0.019902501411841265","0.019902501411841265","0.409637596821642","0.141076225537265","0.019902501411841265","0.409637596821642","0.141076225537265"
"run-186","tanh","256","10","0.01","[32,64,32]","sgd","0.015966318582338046","0.015966318582338046","0.6290043862468544","0.12635789877304088","0.020179272232725205","0.020179272232725205","0.4014278203937667","0.14205376528879904","0.020179272232725205","0.4014278203937667","0.14205376528879904"
"run-32","relu","16","100","0.1","[32,64]","minibatch-gd","0.015050567262489732","0.015050567262489732","0.6502829121136875","0.1226807534313746","0.02062938547229169","0.02062938547229169","0.3880762356701115","0.14362933360665464","0.02062938547229169","0.3880762356701115","0.14362933360665464"
"run-0","relu","16","10","0.01","[32]","sgd","0.011133159948797518","0.011133159948797518","0.7413083368645121","0.10551379032523436","0.02070533016407219","0.02070533016407219","0.3858235092504313","0.14389346810773654","0.02070533016407219","0.3858235092504313","0.14389346810773654"
"run-197","tanh","256","10","0.1","[32,64,32]","minibatch-gd","0.019914209630833776","0.019914209630833776","0.5372706371666237","0.1411177155102568","0.02074418112586544","0.02074418112586544","0.3846710838996959","0.1440284038857108","0.02074418112586544","0.3846710838996959","0.1440284038857108"
"run-207","tanh","256","100","0.1","[32]","sgd","0.015809566072397203","0.015809566072397203","0.6326467095121048","0.12573609693479912","0.020746678820270516","0.020746678820270516","0.38459699548031223","0.1440370744644257","0.020746678820270516","0.38459699548031223","0.1440370744644257"
"run-71","relu","256","100","0.1","[32,64,32]","minibatch-gd","0.01528049767909712","0.01528049767909712","0.6449402167647336","0.12361431017118173","0.021233981221465845","0.021233981221465845","0.3701422789252818","0.1457188430556112","0.021233981221465845","0.3701422789252818","0.1457188430556112"
"run-161","tanh","16","10","0.1","[32,64,32]","minibatch-gd","0.014476426286035146","0.014476426286035146","0.6636237322183436","0.12031802145163104","0.021546665253399107","0.021546665253399107","0.3608672188357097","0.14678782392759662","0.021546665253399107","0.3608672188357097","0.14678782392759662"
"run-11","relu","16","10","0.1","[32]","minibatch-gd","0.016571314032799923","0.016571314032799923","0.6149466272647525","0.12872961598948365","0.021604779330036294","0.021604779330036294","0.359143397028989","0.14698564327864236","0.021604779330036294","0.359143397028989","0.14698564327864236"
"run-64","relu","256","100","0.1","[32]","batch-gd","0.01737254045326488","0.01737254045326488","0.5963292179926831","0.13180493334190826","0.021758993133878687","0.021758993133878687","0.35456899555272525","0.1475092984658211","0.021758993133878687","0.35456899555272525","0.1475092984658211"
"run-167","tanh","16","100","0.01","[32,64]","minibatch-gd","0.016812352440844804","0.016812352440844804","0.609345825071715","0.12966245578749774","0.02187168064487994","0.02187168064487994","0.35122637703326076","0.14789077268335554","0.02187168064487994","0.35122637703326076","0.14789077268335554"
